,"Time Since Formation, h","N, # / m","n, # / m^3","Altitude, m","RHi, %","IWC, kg of ice / kg of moist air","Air Temperature, K","Dry Air Density, kg / m^3","Moist Air Density, kg / m^3","Air Pressure, Pa","Specific Humidity, Ratio","Shear, 1 / s","Effective Area, m^2","Optical Depth, ---","I, kg of ice / m","Width, m","Depth, m","Segment Length, m","Integrated Optical Depth, m","Plume Water Mass, kg / m"
0,0.05277777777777778,2782114401147.8555,604526710.2282736,9963.370112419205,120.05243909687455,1.9807716584843e-05,223.38658213670612,0.4145848713639655,0.41463206569695443,26584.474794291076,0.00011382219778307815,-0.002,4602.13643843348,0.6282343669092789,0.03779265069767019,69.87901974468905,91.81736381769508,19933.690386174087,43.90040172954573,0.2549626886488719
1,0.1361111111111111,2713031710734.4395,256904901.89092037,9963.026502492829,120.05264577400459,1.9344754804771837e-05,223.38881207399695,0.41460251933205455,0.41464972624719026,26585.871825561866,0.00011384769396317324,-0.002,10560.451321736047,0.3845038085950511,0.08469887563649331,140.5182183415085,115.80789417854935,19933.690386432307,54.029790129300984,0.5831684489034414
2,0.21944444444444444,2653225520422.376,143191493.65108973,9962.539153533167,120.05292915288646,1.918132986621898e-05,223.39197500222298,0.41462755048836125,0.4146747752514061,26587.853365427305,0.00011388385757549253,-0.002,18529.21184611293,0.4513975466149079,0.1473648195861685,221.4930126351814,136.03118567222882,19933.690386767823,99.98140249586568,1.0223028057654096
3,0.3027777777777778,2600563457299.77,91663173.7489022,9961.918411764422,120.05327353396255,1.909611190838376e-05,223.39600393535602,0.41465943411047773,0.4147066816106691,26590.377447874856,0.00011392992272951108,-0.002,28370.864229768344,0.343773228901472,0.22465136781053763,310.80565243712255,154.0127482749443,19933.69038716436,106.84666269913828,1.564951063294453
4,0.3861111111111111,2551442932368.2007,63711109.15981845,9961.171167864253,120.05366349939027,1.9039164055674948e-05,223.40085434315276,0.4146978170812289,0.41474509195825704,26593.416175195183,0.00011398538028485631,-0.002,40047.06504116795,0.37805087708679463,0.3161915929394469,407.72779624023786,170.48643822595548,19933.69038761832,154.1418509812878,2.209195868688341
5,0.46944444444444444,2504470925808.849,46757924.74403824,9960.301666732348,120.05408346574362,1.899410085037536e-05,223.40649889542365,0.41474248229620014,0.4147897890375273,26596.952425324154,0.00011404991775945316,-0.002,53562.49105405765,0.34838740787760913,0.4219471219686761,511.8196810354547,185.87328376906854,19933.690388129125,178.31153197668678,2.9555250437903586
6,0.5527777777777777,2458983784408.5117,35665451.72039568,9959.312496751782,120.05451706234544,1.895420784643953e-05,223.41292104256732,0.41479329785714864,0.4148406408591121,26600.975830117848,0.00011412334593200749,-0.002,68945.81915535686,0.3137747844286953,0.5420574342343928,622.7626529700633,200.44217224953343,19933.69038869754,195.40721718592397,3.805786975628465
7,0.6361111111111111,2411463546673.518,27913751.617187914,9958.10855926985,120.0549814332944,1.891128414236851e-05,223.42073862063222,0.41485515089270053,0.41490253804379146,26605.873457088677,0.00011421272888419884,-0.002,86389.80455743031,0.34436480698300254,0.6777663424198577,740.3150584418239,214.5773432537774,19933.69039132444,254.93845220692893,4.771065503432794
8,0.7194444444444444,2363475436298.291,22309174.598268643,9956.725886430417,120.05542901383363,1.8866586019202327e-05,223.42971822635965,0.4149261926030844,0.4149736304788037,26611.499081653354,0.00011431539797976405,-0.002,105941.859295938,0.3045677013009709,0.829338375236699,864.3548940722593,228.3294263923957,19933.690392719338,263.2545831958322,5.854420620036095
9,0.8027777777777777,2315013661711.7397,18125213.905523572,9955.15686599784,120.05582605483592,1.881903949339667e-05,223.4399099066954,0.4150068166641059,0.41505431212820265,26617.88405767479,0.00011443192543476753,-0.002,127723.38432961889,0.3001621266144768,0.9975234215286753,994.7693595950199,241.81181427165075,19933.690394344725,298.5920864669623,7.0631106600196
