,"Time Since Formation, h","N, # / m","n, # / m^3","Altitude, m","RHi, %","IWC, kg of ice / kg of moist air","Air Temperature, K","Dry Air Density, kg / m^3","Moist Air Density, kg / m^3","Air Pressure, Pa","Specific Humidity, Ratio","Shear, 1 / s","Effective Area, m^2","Optical Depth, ---","I, kg of ice / m","Width, m","Depth, m","Segment Length, m","Integrated Optical Depth, m","Plume Water Mass, kg / m"
72,6.052777777777778,1188844467693.687,83909.55184438931,9586.675584481472,110.02669998321358,6.789097010690678e-07,225.8355774093781,0.4342716122245573,0.4343292817485891,28152.136044895247,0.00013277834687911398,-0.002,14168166.097447464,0.028187846240547293,4.177217560199286,22704.758892976595,1261.5151220912635,19933.690473404247,639.998252603923,746.690540215848
73,6.136111111111111,1186826885219.475,81280.83656688858,9580.925624348027,110.03486573099693,5.957803937777878e-07,225.87279752880087,0.43457786400363885,0.43463578768987504,28176.63219934643,0.0001332694818898694,-0.002,14601558.440442447,0.025825284854936632,3.7805328762156805,23330.41210384541,1274.7293780078696,19933.69046450471,602.5145383648692,772.3218201353153
74,6.219444444444445,1185037594040.0276,78856.77721535478,9575.489390747298,110.04128829563571,5.22578648213539e-07,225.9080109752893,0.434867511727438,0.43492567613783634,28199.807676408705,0.000133734138013708,-0.002,15027720.329017961,0.02238196624550311,3.4150866598744485,23964.8102479238,1287.2305353947538,19933.690456289973,536.3795740489176,797.6275245281788
75,6.302777777777778,1183447375829.0303,76616.20354144217,9570.355774054433,110.04620150389263,4.588810539779179e-07,225.94128573438823,0.4351411298392174,0.43519952195709083,28221.707220280503,0.00013417321234827128,-0.002,15446437.191173228,0.02137825737897264,3.0843139988636232,24607.716571752037,1299.0472190050152,19933.690448842444,526.0700983797253,822.5848068043315
76,6.386111111111111,1182028717042.9226,74539.18327351435,9565.50892081454,110.04981849674307,4.04133995476815e-07,225.97272096847476,0.43539954752746635,0.43545815497545565,28242.39609396854,0.0001345880133825128,-0.002,15857816.857284067,0.019468660782006878,2.7903376288435497,25258.889238234264,1310.2175318192674,19933.690442212657,491.756746309467,847.1907238742814
77,6.469444444444445,1180756109350.262,72606.98200967233,9560.928688181264,110.05232878098639,3.576660587490993e-07,226.00244412753872,0.43564382474465774,0.43570263598356884,28261.9581777689,0.00013498022287224452,-0.002,16262294.295512348,0.016902716726106447,2.5339095452665052,25918.084009775772,1320.7878166729795,19933.69043641883,438.086032100669,871.462890691748
78,6.552777777777778,1179606289632.021,70802.0826786167,9556.591369713366,110.05389640865697,3.1870877436826353e-07,226.03060627473542,0.4358752136478388,0.4359342181438372,28280.492892812937,0.00013535183415885034,-0.002,16660615.691016668,0.015993730041592494,2.314447000392038,26585.056853307313,1330.810912204903,19933.69043144857,425.1942224521856,895.4388216557865
79,6.636111111111111,1178558408174.5735,69108.25779842622,9552.470676199991,110.05465936150765,2.8642490304745644e-07,226.05737573088524,0.4360951063244735,0.43615429467282396,28298.111018240506,0.00013570506830581016,-0.002,17053800.019270815,0.015332973946891435,2.1301645549527737,27259.56637833126,1340.3439724821574,19933.690427262583,417.97022108251093,919.1738256447077
80,6.719444444444445,1177594118197.6401,67510.67809165738,9548.53891130167,110.05473014078314,2.5994220612739444e-07,226.08293042890233,0.436304972016154,0.4363643360123738,28314.929659321944,0.00013604227321219184,-0.002,17443079.39847461,0.013928469659154402,1.9782907494964357,27941.376022981276,1349.4460004879218,19933.690423799977,389.180608171119,942.737518102415
81,6.802777777777778,1176697584665.1755,65996.03158968213,9544.768236674898,110.0541974652739,2.3838943296035993e-07,226.10744966437744,0.4365062894697198,0.43656582212374934,28331.066818163414,0.00013636581475814994,-0.002,17829823.34424395,0.012514142908925278,1.8553444376538921,28630.255915953356,1358.175320308008,19933.69042098457,358.28311405134366,966.2092560509913
82,6.886111111111111,1175855415324.5264,64552.62217867275,9541.131890863015,110.05312887465321,2.2093054251342724e-07,226.13110612819327,0.43670048167652714,0.43676017717165005,28346.636150029815,0.00013667797167195848,-0.002,18215455.478631385,0.011628956117586296,1.7574357847639908,29325.98436412315,1366.5872522461318,19933.690418731476,341.03058527541,989.6730214879477
83,6.969444444444445,1175056522079.2288,63170.41898037533,9537.60522569961,110.05157394455729,2.0679333872459312e-07,226.15405911239108,0.4368888602972329,0.43694871390166873,28361.74249183486,0.00013698084587858878,-0.002,18601372.937613007,0.011168693257076132,1.680554171965557,30028.348944274298,1374.7322353070103,19933.690416953246,335.3774183750455,1013.212392366585
84,7.052777777777778,1174291925767.0566,61841.03843035682,9534.166457946478,110.04956777311304,1.9528980565460636e-07,226.17644956067397,0.437072585260188,0.4371325932039637,28376.478604665102,0.00013727629718902995,-0.002,18988877.86448642,0.010880752455144525,1.6208112454164534,30737.14720782751,1382.654560323304,19933.690415565026,334.4432899457079,1036.906196033638
85,7.136111111111111,1173554521311.4272,60557.6560145376,9530.797091748866,110.04713441258369,1.8582712893642724e-07,226.19839725865205,0.4372526419321339,0.4373128012639433,28390.92332456002,0.00013756590622440273,-0.002,19379127.24081826,0.010622748417289314,1.5746200368452727,31452.18703409855,1390.3917598560781,19933.690414488316,334.10867003675787,1060.8252519442035
86,7.219444444444445,1172838821993.6528,59314.85887411702,9527.4820284279,110.04428998876024,1.7791008643692498e-07,226.22000006157438,0.4374298350015769,0.4374901434396892,28405.141054249525,0.00013785096422556318,-0.002,19773103.13563672,0.010353770186539686,1.5388057596431683,32173.286685984254,1397.9745884055658,19933.690413653356,333.114816492338,1085.0303541750827
87,7.302777777777778,1172140700710.8206,58108.45942116186,9524.209424812734,110.04104534934899,1.711366669351021e-07,226.24133476497795,0.43760479582191447,0.437665251610517,28419.182336165017,0.00013813248454167348,-0.002,20171601.7321215,0.010074499779957887,1.5106558163690467,32900.27463039133,1405.4274519342805,19933.69041300021,331.4538095244315,1109.5714117136736
88,7.386111111111111,1171457142894.1475,56935.29230484829,9520.970381012708,110.03740818040579,1.6518923035374025e-07,226.26245909375552,0.4377779989017257,0.4378386006804956,28433.08516153037,0.00013841122887678733,-0.002,20575237.17664997,0.00979331336791377,1.487923186959142,33632.98918530667,1412.769120794155,19933.690412478914,329.3784025913631,1134.4875164429754
89,7.469444444444445,1170786021315.2073,55793.01397421333,9517.758536027946,110.03338460505199,1.5982337160360066e-07,226.28341429993668,0.4379497833567939,0.4380105300479895,28446.87668007276,0.0001386877415686529,-0.002,20984455.542343106,0.009515624213066544,1.4687988020857141,34371.27804896112,1420.0135754858443,19933.69041204889,327.064165636737,1159.807656616879
90,7.552777777777778,1170125898482.5752,54679.91838127986,9514.569633879113,110.0289803240967,1.5485616179828927e-07,226.30422796072963,0.4381203759734815,0.43818126668802454,28460.575041533866,0.00013896238651004306,-0.002,21399554.59193183,0.009242909165210478,1.4518664733425932,35114.99775712093,1427.1708713316734,19933.69041167806,324.5647346056384,1185.5518130767246
91,7.636111111111111,1169475858566.7356,53594.776429661564,9511.401103135746,110.02420137734444,1.5015487067471917e-07,226.32491669668218,0.4382899135883412,0.43835094755041887,28474.191184607895,0.00013923538301602266,-0.002,21820705.9805832,0.008974128174090384,1.4360504522369366,35864.01310453854,1434.2479488501097,19933.69041134173,321.84825043738607,1211.7322311071496
92,7.719444444444445,1168835368132.5117,52536.70196284457,9508.25167484823,110.01905460586035,1.4562678135661314e-07,226.34548864594518,0.4384584634427239,0.43851963993129894,28487.73046536042,0.00013950683847288885,-0.002,22247977.594009325,0.008707122279390862,1.4205621758303997,36618.19655743322,1441.2493510130455,19933.69041102147,318.8391150763406,1238.3547239465927
93,7.802777777777778,1168204163365.1382,51505.0438223301,9505.121050484015,110.01354788750774,1.4121035305888932e-07,226.36594561788388,0.4386260408872491,0.4386873591923206,28501.19407461221,0.00013977677675597167,-0.002,22681354.61441276,0.008439559567430786,1.4048499468199236,37377.42767617523,1448.1778330069033,19933.69041070407,315.44902735041694,1265.4199183882556
94,7.886111111111111,1167582160712.3755,50499.30163684323,9502.009622712483,110.00769020669712,1.3686776548002392e-07,226.38628490640127,0.43879262427929777,0.43885408367060874,28514.58023136496,0.00014004516215719194,-0.002,23120758.56234281,0.008169536490913072,1.3885533624358417,38141.592561218866,1455.034865166705,19933.690410380532,311.5991322504161,1292.9243930486891
